56,允,イン,in,じょう まことに ゆるす,jyou makotoni yurusu ,license; sincerity; permit;,1,イン…じょう まことに ゆるす,
57,印,イン,in,しるし しるす,shirushi shirusu ,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India;,2,イン…しるし しるす,
58,員,イン,in,,,employee; member; number; the one in charge;,3,イン…,
59,因,イン,in,よる ちなむ,yoru chinamu ,cause; factor; be associated with; depend on; be limited to;,2,イン…よる ちなむ,
60,姻,イン,in,,,matrimony; marry;,1,イン…,
61,引,イン,in,ひく ひき ひき- ひける,hiku hiki hiki hikeru ,pull; tug; jerk; admit; install; quote; refer to;,2,イン…ひく ひき ひき- ひける,
62,飲,イン オン,in on,のむ,nomu ,drink; smoke; take;,3,イン オン…のむ,
63,胤,イン,in,たね,tane ,descendent; issue; offspring;,1,イン…たね,
64,院,イン,in,,,Inst.; institution; temple; mansion; school;,3,イン…,
65,陰,イン,in,かげ かげる,kage kageru ,shade; yin; negative; sex organs; secret; shadow;,1,イン…かげ かげる,
66,隠,イン オン,in on,かくす かくし かくれる かかす よる,kakusu kakushi kakureru kakasu yoru ,conceal; hide; cover;,1,イン オン…かくす かくし かくれる かかす よる,
67,韻,イン,in,,,rhyme; elegance; tone;,1,イン…,
68,右,ウ ユウ,u yuu,みぎ,migi ,right;,4,ウ ユウ…みぎ,
69,宇,ウ,u,,,eaves; roof; house; heaven;,2,ウ…,
70,羽,ウ,u,は わ はね,ha wa hane ,feathers; counter for birds rabbits;,2,ウ…は わ はね,
71,雨,ウ,u,あめ あま-,ame ama ,rain;,4,ウ…あめ あま-,
72,卯,ボウ モウ,bou mou,う,u ,sign of the hare; 5-7AM; fourth sign of Chinese zodiac; sign of the rabbit; east;,1,ボウ モウ…う,
73,丑,チュウ,tyuu,うし,ushi ,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac;,1,チュウ…うし,
74,渦,カ,ka,うず,uzu ,whirlpool; eddy; vortex;,1,カ…うず,
75,浦,ホ,ho,うら,ura ,bay; creek; inlet; gulf; beach; seacoast;,1,ホ…うら,
76,云,ウン,un,いう ここに,iu kokoni ,say;,1,ウン…いう ここに,
77,運,ウン,un,はこぶ,hakobu ,carry; luck; destiny; fate; lot; transport; progress; advance;,3,ウン…はこぶ,
78,雲,ウン,un,くも,kumo ,cloud;,2,ウン…くも,
79,営,エイ,ei,いとなむ いとなみ,itonamu itonami ,occupation; camp; perform; build; conduct (business);,2,エイ…いとなむ いとなみ,
80,影,エイ,ei,かげ,kage ,shadow; silhouette; phantom;,1,エイ…かげ,
81,映,エイ,ei,うつる うつす はえる,utsuru utsusu haeru ,reflect; reflection; projection;,3,エイ…うつる うつす はえる,
82,栄,エイ ヨウ,ei you,さかえる はえ はえる え,sakaeru hae haeru e ,flourish; prosperity; honor; glory; splendor;,2,エイ ヨウ…さかえる はえ はえる え,
83,永,エイ,ei,ながい,nagai ,eternity; long; lengthy;,2,エイ…ながい,
84,泳,エイ,ei,およぐ,oyogu ,swim;,2,エイ…およぐ,
85,瑛,エイ,ei,,,sparkle of jewelry; crystal;,1,エイ…,
86,英,エイ,ei,はなぶさ,hanabusa ,England; English;,3,エイ…はなぶさ,
87,衛,エイ エ,ei e,,,defense; protection;,1,エイ エ…,
88,詠,エイ,ei,よむ うたう,yomu utau ,recitation; poem; song; composing;,1,エイ…よむ うたう,
89,鋭,エイ,ei,するどい,surudoi ,pointed; sharpness; edge; weapon; sharp; violent;,2,エイ…するどい,
90,液,エキ,eki,,,fluid; liquid; juice; sap; secretion;,2,エキ…,
91,疫,エキ ヤク,eki yaku,,,epidemic;,1,エキ ヤク…,
92,益,エキ ヤク,eki yaku,ます,masu ,benefit; gain; profit; advantage;,1,エキ ヤク…ます,
93,駅,エキ,eki,,,station;,3,エキ…,
94,悦,エツ,etsu,よろこぶ よろこばす,yorokobu yorokobasu ,ecstasy; joy; rapture;,1,エツ…よろこぶ よろこばす,
95,謁,エツ,etsu,,,audience; audience (with king);,1,エツ…,
96,越,エツ オツ,etsu otsu,こす こえる,kosu koeru ,surpass; cross over; move to; exceed; Vietnam;,2,エツ オツ…こす こえる,
97,閲,エツ,etsu,けみする,kemisuru ,review; inspection; revision;,1,エツ…けみする,
98,円,エン,en,まるい まる まど まどか まろやか,marui maru mado madoka maroyaka ,circle; yen; round;,4,エン…まるい まる まど まどか まろやか,
99,園,エン,en,その,sono ,park; garden; yard; farm;,2,エン…その,
100,宴,エン,en,うたげ,utage ,banquet; feast; party;,1,エン…うたげ,
101,延,エン,en,のびる のべる のべ のばす,nobiru noberu nobe nobasu ,prolong; stretching;,2,エン…のびる のべる のべ のばす,
102,援,エン,en,,,abet; help; save;,1,エン…,
103,沿,エン,en,そう,sou ,run alongside; follow along; run along; lie along;,1,エン…そう,
104,演,エン,en,,,performance; act; play; render; stage;,2,エン…,
105,炎,エン,en,ほのお,honoo ,inflammation; flame; blaze;,1,エン…ほのお,
106,煙,エン,en,けむる けむり けむい,kemuru kemuri kemui ,smoke;,2,エン…けむる けむり けむい,
107,猿,エン,en,さる,saru ,monkey;,1,エン…さる,
108,縁,エン,en,ふち ふちどる ゆかり よすが へり えにし,fuchi fuchidoru yukari yosuga heri enishi ,affinity; relation; connection; edge; border; verge; brink;,1,エン…ふち ふちどる ゆかり よすが へり えにし,
109,艶,エン,en,つや なまめかしい あでやか つやめく なまめく,tsuya namamekashii adeyaka tsuyameku namameku ,glossy; luster; glaze; polish; charm; colorful; captivating;,1,エン…つや なまめかしい あでやか つやめく なまめく,
110,苑,エン オン,en on,その うつ,sono utsu ,garden; farm; park;,1,エン オン…その うつ,
111,遠,エン オン,en on,とおい,tooi ,distant; far;,2,エン オン…とおい,
112,鉛,エン,en,なまり,namari ,lead;,1,エン…なまり,
113,塩,エン,en,しお,shio ,salt;,2,エン…しお,
114,汚,オ,o,けがす けがれる けがらわしい よごす よごれる きたない,kegasu kegareru kegarawashii yogosu yogoreru kitanai ,dirty; pollute; disgrace; rape; defile;,2,オ…けがす けがれる けがらわしい よごす よごれる きたない,
115,凹,オウ,ou,くぼむ へこむ ぼこ,kubomu hekomu boko ,concave; hollow; sunken;,1,オウ…くぼむ へこむ ぼこ,
116,央,オウ,ou,,,center; middle;,2,オウ…,
117,奥,オウ オク,ou oku,おくまる くま,okumaru kuma ,heart; interior;,2,オウ オク…おくまる くま,
118,往,オウ,ou,いく いにしえ さきに ゆく,iku inishie sakini yuku ,journey; chase away; let go; going; travel;,1,オウ…いく いにしえ さきに ゆく,
119,応,オウ ヨウ,ou you,あたる まさに こたえる,ataru masani kotaeru ,apply; answer; yes; OK; reply; accept;,1,オウ ヨウ…あたる まさに こたえる,
120,押,オウ,ou,おす おし- おっ- おさえる おさえる,osu oshi oxtu osaeru osaeru ,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of;,2,オウ…おす おし- おっ- おさえる おさえる,
121,横,オウ,ou,よこ,yoko ,sideways; side; horizontal; width; woof;,2,オウ…よこ,
122,欧,オウ,ou,うたう はく,utau haku ,Europe;,2,オウ…うたう はく,
123,殴,オウ,ou,なぐる,naguru ,assault; hit; beat; thrash;,1,オウ…なぐる,
124,王,オウ,ou,,,king; rule; magnate;,2,オウ…,
125,翁,オウ,ou,おきな,okina ,venerable old man;,1,オウ…おきな,
126,黄,コウ オウ,kou ou,き こ-,ki ko ,yellow;,2,コウ オウ…き こ-,
127,岡,コウ,kou,おか,oka ,mount; hill; knoll;,1,コウ…おか,
128,沖,チュウ,tyuu,おき おきつ ちゅうする わく,oki okitsu chuusuru waku ,open sea; offing; rise high into sky;,1,チュウ…おき おきつ ちゅうする わく,
129,億,オク,oku,,,hundred million; 10**8;,2,オク…,
130,屋,オク,oku,や,ya ,roof; house; shop; dealer; seller;,3,オク…や,
131,憶,オク,oku,,,recollection; think; remember;,1,オク…,
132,乙,オツ イツ,otsu itsu,おと- きのと,oto kinoto ,the latter; duplicate; strange; witty;,1,オツ イツ…おと- きのと,
133,俺,エン,en,おれ われ,ore ware ,I; myself;,1,エン…おれ われ,
